"ID","School","BA","DLS","Ethnic","FS","Gender","LC","comb_name","row_name"
4525,"45-22",2,1,1,0,0,1,64,838
4526,"45-22",1,1,1,0,1,1,37,839
4527,"45-22",1,2,1,2,0,2,53,840
4701,"47-23",0,0,1,1,0,0,3,841
4702,"47-23",2,2,1,2,0,2,80,842
4703,"47-23",0,0,1,0,0,0,0,843
4704,"47-23",1,0,1,2,0,1,34,844
4705,"47-23",0,0,1,1,0,0,3,845
4706,"47-23",1,0,1,2,0,1,34,846
4707,"47-23",1,0,1,0,1,0,27,847
4708,"47-23",0,1,1,0,1,1,10,848
4709,"47-23",1,0,1,1,0,1,31,849
4710,"47-23",0,0,1,1,0,1,4,850
4711,"47-23",1,1,1,2,0,1,43,851
4713,"47-23",0,0,1,0,0,1,1,852
4714,"47-23",1,1,1,1,0,2,41,853
5101,"51-25",0,0,1,1,1,0,3,854
5102,"51-25",0,0,0,1,0,0,3,855
5103,"51-25",0,1,1,0,0,0,9,856
5104,"51-25",0,1,1,0,1,1,10,857
5105,"51-25",0,0,1,0,0,0,0,858
5106,"51-25",0,0,1,1,0,0,3,859
5107,"51-25",0,0,0,1,0,0,3,860
5108,"51-25",0,0,0,0,0,0,0,861
5109,"51-25",2,0,1,0,0,0,54,862
5110,"51-25",1,0,0,0,1,0,27,863
5111,"51-25",1,0,0,0,1,0,27,864
5112,"51-25",0,0,1,0,0,0,0,865
5113,"51-25",0,0,1,1,0,0,3,866
5114,"51-25",0,1,0,1,1,2,14,867
5116,"51-25",0,1,0,1,1,2,14,868
5117,"51-25",1,1,0,1,1,2,41,869
5118,"51-25",0,1,0,1,0,2,14,870
5119,"51-25",2,2,0,1,1,2,77,871
5120,"51-25",1,2,0,2,0,2,53,872
5121,"51-25",0,0,0,1,0,1,4,873
5122,"51-25",0,0,0,1,0,0,3,874
5123,"51-25",0,0,0,1,0,2,5,875
5124,"51-25",1,2,0,2,0,2,53,876
5125,"51-25",0,1,0,1,0,2,14,877
5126,"51-25",2,2,0,2,0,2,80,878
5127,"51-25",0,0,0,1,0,0,3,879
5129,"51-25",1,1,0,1,1,2,41,880
5130,"51-25",0,1,1,0,1,2,11,881
5131,"51-25",0,1,0,0,0,1,10,882
5132,"51-25",0,0,1,0,0,1,1,883
5133,"51-25",0,0,0,1,0,0,3,884
5134,"51-25",1,2,0,2,0,2,53,885
5135,"51-25",0,1,0,2,0,1,16,886
5136,"51-25",0,0,0,0,0,0,0,887
5137,"51-25",0,1,0,2,0,2,17,888
5138,"51-25",0,0,0,1,0,1,4,889
5139,"51-25",0,0,0,0,0,2,2,890
5142,"51-25",1,1,0,2,0,2,44,891
5143,"51-25",1,1,1,1,1,1,40,892
5144,"51-25",0,0,1,1,0,2,5,893
5145,"51-25",1,1,1,0,1,2,38,894
5148,"51-25",0,0,1,1,1,1,4,895
5149,"51-25",0,0,0,2,1,1,7,896
5150,"51-25",0,0,1,0,0,0,0,897
5151,"51-25",0,1,0,1,0,2,14,898
5152,"51-25",0,1,0,0,1,1,10,899
5153,"51-25",2,1,0,2,1,2,71,900
5155,"51-25",0,1,0,1,1,2,14,901
5156,"51-25",2,2,0,2,0,2,80,902
5157,"51-25",0,0,1,0,0,1,1,903
5158,"51-25",0,0,1,0,0,0,0,904
5160,"51-25",2,1,0,1,1,2,68,905
5161,"51-25",0,1,1,1,0,0,12,906
5162,"51-25",0,1,0,1,0,2,14,907
5163,"51-25",0,0,0,1,1,2,5,908
5302,"53-27",0,0,1,1,0,0,3,909
5303,"53-27",0,0,1,0,0,0,0,910
5304,"53-27",0,0,1,0,1,0,0,911
5305,"53-27",1,1,1,0,1,1,37,912
5306,"53-27",1,0,1,0,0,1,28,913
5307,"53-27",0,0,1,0,0,0,0,914
5308,"53-27",0,0,1,0,1,1,1,915
5309,"53-27",0,0,1,0,1,0,0,916
5310,"53-27",1,1,1,0,1,0,36,917
5311,"53-27",0,0,1,0,1,0,0,918
5312,"53-27",2,0,1,0,0,0,54,919
5313,"53-27",0,0,1,0,0,0,0,920
5314,"53-27",0,0,1,0,1,1,1,921
5315,"53-27",0,0,1,0,1,0,0,922
5316,"53-27",2,2,1,2,0,2,80,923
5317,"53-27",0,0,1,0,1,0,0,924
5318,"53-27",1,0,1,0,0,0,27,925
5319,"53-27",1,0,1,0,1,0,27,926
5320,"53-27",0,1,1,1,1,1,13,927
5321,"53-27",1,0,0,1,0,1,31,928
5322,"53-27",0,0,1,0,0,0,0,929
5323,"53-27",0,0,1,0,1,0,0,930
5324,"53-27",0,0,1,0,1,0,0,931
5325,"53-27",1,1,1,1,0,2,41,932
5326,"53-27",0,2,1,1,1,1,22,933
5327,"53-27",0,1,1,0,1,1,10,934
5328,"53-27",0,1,1,1,1,0,12,935
5329,"53-27",0,0,1,0,1,0,0,936
5330,"53-27",2,2,1,1,1,2,77,937
5331,"53-27",0,0,1,0,0,1,1,938
5332,"53-27",0,0,1,0,0,0,0,939
5333,"53-27",2,1,1,1,1,2,68,940
5334,"53-27",0,0,1,0,1,0,0,941
5335,"53-27",0,0,1,0,1,1,1,942
5336,"53-27",1,1,1,0,1,1,37,943
5337,"53-27",0,0,1,1,0,0,3,944
5338,"53-27",0,0,1,0,1,0,0,945
5339,"53-27",1,0,1,0,0,0,27,946
5340,"53-27",0,0,1,0,1,0,0,947
5341,"53-27",1,0,1,0,0,0,27,948
5342,"53-27",1,0,1,0,1,0,27,949
5343,"53-27",2,2,0,1,1,0,75,950
5344,"53-27",2,1,1,0,1,1,64,951
5345,"53-27",0,0,0,0,0,0,0,952
5346,"53-27",0,0,1,0,0,0,0,953
5347,"53-27",1,1,1,1,1,0,39,954
5348,"53-27",0,0,1,0,0,0,0,955
5349,"53-27",0,0,0,0,0,0,0,956
5350,"53-27",0,0,1,0,0,1,1,957
5351,"53-27",0,0,1,0,1,0,0,958
5601,"56-29",0,0,1,0,1,1,1,959
5602,"56-29",2,2,1,1,1,2,77,960
5604,"56-29",0,1,1,1,0,2,14,961
5605,"56-29",1,1,1,1,1,2,41,962
5606,"56-29",1,0,1,1,1,2,32,963
5607,"56-29",0,0,1,0,1,0,0,964
5608,"56-29",2,2,1,2,1,2,80,965
5609,"56-29",2,2,1,1,1,2,77,966
5610,"56-29",2,1,1,2,0,2,71,967
5611,"56-29",0,0,1,0,0,0,0,968
5612,"56-29",0,0,1,0,0,0,0,969
5613,"56-29",0,0,1,0,1,0,0,970
5614,"56-29",0,0,1,2,0,0,6,971
5616,"56-29",1,1,1,1,1,1,40,972
5617,"56-29",0,0,1,0,0,0,0,973
5619,"56-29",1,0,1,0,1,1,28,974
5620,"56-29",2,2,1,1,1,2,77,975
5622,"56-29",2,0,1,0,0,0,54,976
5623,"56-29",0,0,1,2,0,1,7,977
5624,"56-29",1,2,1,2,1,2,53,978
5625,"56-29",1,1,1,1,0,2,41,979
5626,"56-29",1,1,1,1,0,1,40,980
5627,"56-29",1,0,1,0,0,1,28,981
5628,"56-29",1,1,1,1,0,2,41,982
5629,"56-29",1,1,1,0,0,2,38,983
5701,"57-30",1,0,0,1,1,1,31,984
5702,"57-30",1,0,1,1,0,1,31,985
5703,"57-30",1,0,1,0,0,1,28,986
5704,"57-30",0,0,1,1,0,2,5,987
5705,"57-30",1,1,1,1,0,0,39,988
5706,"57-30",2,2,1,2,0,0,78,989
5708,"57-30",0,1,1,1,0,1,13,990
5709,"57-30",1,0,1,0,0,1,28,991
5711,"57-30",1,1,1,1,1,1,40,992
5712,"57-30",1,0,1,0,0,1,28,993
5713,"57-30",1,1,1,1,0,1,40,994
5714,"57-30",0,2,1,0,1,1,19,995
5715,"57-30",2,1,1,0,0,2,65,996
5716,"57-30",2,2,1,0,0,1,73,997
5717,"57-30",0,1,1,0,1,1,10,998
5718,"57-30",0,0,1,0,1,1,1,999
5719,"57-30",0,0,1,0,0,0,0,1000
5720,"57-30",2,2,1,2,1,2,80,1001
6201,"62-33",0,1,1,0,0,0,9,1002
6202,"62-33",1,1,1,0,0,0,36,1003
6203,"62-33",0,1,1,0,1,0,9,1004
6204,"62-33",2,1,1,0,1,1,64,1005
6205,"62-33",0,1,1,0,1,0,9,1006
6206,"62-33",1,1,1,0,1,0,36,1007
6207,"62-33",0,1,1,0,1,0,9,1008
6210,"62-33",0,1,0,0,0,0,9,1009
6501,"65-34",0,0,1,0,0,0,0,1010
6502,"65-34",2,1,1,1,0,0,66,1011
6503,"65-34",0,0,1,0,1,0,0,1012
6504,"65-34",0,0,1,0,1,0,0,1013
6505,"65-34",0,0,1,1,0,0,3,1014
6506,"65-34",2,2,1,0,1,1,73,1015
6507,"65-34",1,1,1,0,0,0,36,1016
6508,"65-34",0,0,0,0,1,0,0,1017
6509,"65-34",0,0,1,0,0,0,0,1018
6510,"65-34",0,0,1,0,0,0,0,1019
6511,"65-34",0,0,1,0,1,0,0,1020
6512,"65-34",0,1,1,1,1,0,12,1021
6513,"65-34",2,1,1,1,1,0,66,1022
6514,"65-34",2,1,1,1,1,0,66,1023
6515,"65-34",1,1,1,1,0,0,39,1024
6516,"65-34",1,1,1,1,1,0,39,1025
6517,"65-34",1,2,1,2,1,1,52,1026
6518,"65-34",0,0,1,0,0,0,0,1027
6519,"65-34",1,2,1,1,1,2,50,1028
6520,"65-34",0,0,1,0,0,0,0,1029
6521,"65-34",2,0,1,1,0,1,58,1030
6522,"65-34",0,1,1,1,1,1,13,1031
6523,"65-34",0,0,1,1,0,0,3,1032
6524,"65-34",0,0,1,0,0,0,0,1033
6525,"65-34",2,1,1,1,1,1,67,1034
6526,"65-34",0,0,1,0,0,0,0,1035
6527,"65-34",0,1,1,1,0,0,12,1036
6528,"65-34",2,1,1,0,1,2,65,1037
6529,"65-34",0,0,1,0,1,1,1,1038
6530,"65-34",0,0,1,0,1,0,0,1039
6531,"65-34",0,0,0,0,1,1,1,1040
6532,"65-34",0,0,1,0,0,1,1,1041
6533,"65-34",0,0,1,0,0,0,0,1042
6534,"65-34",0,0,1,0,0,1,1,1043
6535,"65-34",0,0,1,1,0,1,4,1044
6536,"65-34",0,1,1,0,1,0,9,1045
6537,"65-34",0,0,1,1,1,0,3,1046
6538,"65-34",0,1,1,1,1,2,14,1047
6539,"65-34",0,1,1,0,1,1,10,1048
6540,"65-34",2,1,1,1,1,1,67,1049
6541,"65-34",0,0,1,1,0,0,3,1050
6542,"65-34",0,1,1,0,0,1,10,1051
6543,"65-34",1,1,1,1,0,1,40,1052
6544,"65-34",2,2,1,1,0,2,77,1053
6545,"65-34",0,1,1,0,0,0,9,1054
7001,"7001-83",1,1,1,1,0,1,40,1055
7002,"7001-83",2,2,1,2,1,2,80,1056
7003,"7001-83",1,2,1,1,0,1,49,1057
7004,"7001-83",0,0,1,0,0,0,0,1058
7005,"7001-83",1,2,1,2,1,2,53,1059
7006,"7001-83",0,0,1,1,0,0,3,1060
7007,"7001-83",0,1,1,0,1,0,9,1061
7008,"7001-83",0,1,1,1,1,0,12,1062
7009,"7001-83",0,0,1,1,1,2,5,1063
7010,"7001-83",2,2,1,2,1,2,80,1064
7011,"7001-83",0,1,1,1,0,0,12,1065
7012,"7001-83",2,2,1,0,1,1,73,1066
7013,"7001-83",1,2,1,1,0,2,50,1067
7014,"7001-83",0,1,1,0,0,0,9,1068
7015,"7001-83",0,0,1,0,1,0,0,1069
7016,"7001-83",0,0,1,1,0,0,3,1070
7017,"7001-83",1,2,0,1,0,2,50,1071
7018,"7001-83",1,2,1,2,1,2,53,1072
7019,"7001-83",1,2,1,1,0,2,50,1073
7020,"7001-83",2,2,1,2,1,2,80,1074
7022,"7001-83",0,0,1,0,0,0,0,1075
7025,"7001-83",1,1,1,1,0,2,41,1076
7027,"7001-83",0,2,0,1,1,2,23,1077
7028,"7001-83",2,2,1,1,0,1,76,1078
7029,"7001-83",0,0,1,1,0,1,4,1079
7030,"7001-83",1,1,1,1,0,1,40,1080
7031,"7002-84",0,0,1,0,0,0,0,1081
7032,"7002-84",0,0,1,0,1,0,0,1082
7034,"7002-84",0,0,1,0,0,0,0,1083
7035,"7002-84",1,1,1,0,1,0,36,1084
7036,"7002-84",0,0,1,0,1,1,1,1085
7037,"7002-84",0,0,0,0,0,0,0,1086
7038,"7002-84",0,0,1,0,0,0,0,1087
7039,"7002-84",0,0,0,0,0,0,0,1088
7040,"7002-84",0,0,1,0,0,0,0,1089
7041,"7002-84",0,1,1,0,0,0,9,1090
7042,"7002-84",0,0,1,0,0,0,0,1091
7043,"7002-84",0,0,1,0,0,0,0,1092
7044,"7002-84",1,1,1,0,1,0,36,1093
7045,"7002-84",1,0,1,1,1,0,30,1094
7046,"7002-84",0,0,1,0,1,0,0,1095
7047,"7002-84",0,0,1,0,0,0,0,1096
7048,"7002-84",0,0,1,0,1,0,0,1097
7049,"7002-84",0,0,1,0,1,0,0,1098
7050,"7002-84",0,0,0,0,0,0,0,1099
7051,"7002-84",0,0,1,0,1,0,0,1100
7052,"7002-84",2,2,0,2,1,2,80,1101
7053,"7002-84",0,0,1,0,0,0,0,1102
7054,"7002-84",1,0,1,0,1,0,27,1103
7055,"7002-84",1,1,1,1,0,0,39,1104
7056,"7002-84",0,0,1,0,0,0,0,1105
7057,"7002-84",0,1,1,0,1,0,9,1106
7058,"7002-84",0,1,1,2,1,0,15,1107
7059,"7002-84",1,1,1,1,1,0,39,1108
7060,"7002-84",1,0,1,0,1,0,27,1109
7061,"7002-84",0,0,0,1,1,1,4,1110
7063,"7002-84",0,0,0,1,0,0,3,1111
7065,"7002-84",2,2,1,1,1,2,77,1112
7066,"7002-84",0,0,1,0,1,0,0,1113
7067,"7002-84",0,0,1,0,0,0,0,1114
7068,"7002-84",0,1,1,1,0,1,13,1115
7069,"7002-84",0,0,1,0,0,0,0,1116
7070,"7002-84",2,1,1,1,0,1,67,1117
7071,"7002-84",1,0,1,0,0,0,27,1118
7072,"7002-84",1,2,1,1,1,2,50,1119
7073,"7002-84",1,1,1,1,1,1,40,1120
7074,"7002-84",0,0,1,0,0,1,1,1121
7075,"7002-84",1,0,1,0,0,0,27,1122
7076,"7002-84",2,2,1,1,0,2,77,1123
7077,"7002-84",0,1,0,1,1,1,13,1124
7078,"7002-84",1,0,1,1,1,1,31,1125
7079,"7002-84",0,0,1,0,0,1,1,1126
7080,"7002-84",0,0,1,0,1,0,0,1127
7081,"7002-84",1,0,1,0,1,0,27,1128
7082,"7002-84",0,0,1,0,0,0,0,1129
7084,"7002-84",2,1,0,2,1,1,70,1130
7085,"7002-84",2,1,1,0,0,1,64,1131
7086,"7002-84",0,0,1,1,0,0,3,1132
7087,"7002-84",0,1,1,0,0,0,9,1133
7088,"7002-84",0,1,1,1,1,1,13,1134
7089,"7002-84",2,2,1,1,1,2,77,1135
7090,"7002-84",2,1,1,0,1,1,64,1136
7092,"7003-85",1,1,0,1,0,0,39,1137
7093,"7003-85",0,0,1,0,1,0,0,1138
7094,"7003-85",0,1,1,0,0,0,9,1139
7095,"7003-85",1,0,1,0,0,0,27,1140
7096,"7003-85",1,1,1,1,1,1,40,1141
7097,"7003-85",1,1,0,1,0,2,41,1142
7098,"7003-85",1,0,1,1,0,1,31,1143
7099,"7003-85",2,0,1,0,0,0,54,1144
7101,"7003-85",2,0,1,1,0,0,57,1145
7103,"7003-85",1,1,1,0,0,1,37,1146
7104,"7003-85",1,0,1,0,1,0,27,1147
7106,"7003-85",0,0,0,1,0,0,3,1148
7107,"7003-85",0,0,0,0,0,0,0,1149
7108,"7003-85",1,1,1,0,0,0,36,1150
7111,"7003-85",0,0,1,0,1,0,0,1151
7112,"7003-85",0,0,1,0,1,1,1,1152
7115,"7003-85",1,0,1,0,1,1,28,1153
7116,"7003-85",0,0,1,0,0,0,0,1154
7117,"7003-85",1,1,0,1,0,2,41,1155
7118,"7003-85",2,1,0,1,0,1,67,1156
7119,"7003-85",0,0,1,0,0,0,0,1157
7120,"7003-85",0,0,1,0,1,0,0,1158
7121,"7003-85",0,0,1,0,0,1,1,1159
7122,"7003-85",0,1,1,1,0,1,13,1160
7125,"7003-85",0,0,0,0,0,0,0,1161
7127,"7003-85",0,0,1,0,1,0,0,1162
7128,"7003-85",0,0,1,0,1,0,0,1163
7129,"7003-85",0,0,1,1,1,0,3,1164
7130,"7003-85",0,1,1,0,1,1,10,1165
7133,"7003-85",0,0,1,0,0,0,0,1166
7135,"7003-85",0,0,1,0,0,0,0,1167
7137,"7003-85",0,2,1,0,0,1,19,1168
7140,"7003-85",1,0,1,0,1,0,27,1169
7141,"7003-85",0,1,1,1,1,0,12,1170
7142,"7003-85",1,0,1,0,0,2,29,1171
7145,"7003-85",0,0,0,0,0,1,1,1172
7146,"7004-86",1,2,0,1,0,2,50,1173
7147,"7004-86",1,0,1,1,0,1,31,1174
7148,"7004-86",0,1,0,0,1,1,10,1175
7149,"7004-86",2,1,1,0,1,0,63,1176
7150,"7004-86",1,1,1,0,0,0,36,1177
7151,"7004-86",0,1,0,0,0,0,9,1178
7152,"7004-86",1,1,1,1,1,1,40,1179
7153,"7004-86",2,1,1,1,1,2,68,1180
7154,"7004-86",1,1,1,1,1,1,40,1181
7155,"7004-86",1,1,1,1,0,1,40,1182
7156,"7004-86",0,0,1,0,0,0,0,1183
7157,"7004-86",1,1,1,1,0,2,41,1184
7158,"7004-86",0,0,1,0,0,0,0,1185
7159,"7004-86",1,0,1,0,0,0,27,1186
7160,"7004-86",0,1,1,0,0,1,10,1187
7161,"7004-86",1,0,1,0,0,0,27,1188
7162,"7004-86",0,0,1,0,0,0,0,1189
7163,"7004-86",0,0,0,1,0,0,3,1190
7164,"7004-86",1,1,0,1,0,2,41,1191
7165,"7004-86",0,0,1,1,1,0,3,1192
7167,"7004-86",0,0,1,0,0,0,0,1193
7168,"7004-86",0,0,1,0,0,0,0,1194
7169,"7004-86",0,0,1,0,1,0,0,1195
7170,"7004-86",0,1,1,0,1,1,10,1196
7171,"7004-86",0,1,1,0,1,1,10,1197
7172,"7004-86",1,0,1,0,0,0,27,1198
7173,"7004-86",0,0,1,1,0,0,3,1199
7174,"7004-86",0,0,1,0,1,0,0,1200
7175,"7004-86",1,0,1,0,0,0,27,1201
7176,"7004-86",1,1,1,1,0,2,41,1202
7177,"7004-86",0,0,1,0,0,0,0,1203
7178,"7004-86",0,0,1,0,0,0,0,1204
7179,"7004-86",1,0,1,0,1,0,27,1205
7180,"7004-86",0,0,1,1,0,0,3,1206
7181,"7004-86",1,2,0,1,1,2,50,1207
7182,"7004-86",0,0,1,0,0,1,1,1208
7183,"7004-86",0,1,1,0,0,1,10,1209
7185,"7004-86",0,0,1,0,0,0,0,1210
7186,"7004-86",1,1,1,1,1,2,41,1211
7187,"7004-86",0,0,1,0,0,0,0,1212
7188,"7004-86",0,0,1,0,0,0,0,1213
7189,"7004-86",0,0,1,0,0,0,0,1214
7190,"7004-86",0,0,1,0,0,0,0,1215
7191,"7004-86",0,0,1,0,0,0,0,1216
7193,"7004-86",0,1,1,0,1,1,10,1217
7194,"7004-86",1,1,1,1,0,2,41,1218
7195,"7004-86",1,1,1,0,1,2,38,1219
7196,"7004-86",0,0,1,0,1,0,0,1220
7197,"7004-86",0,0,1,0,1,0,0,1221
7198,"7004-86",0,0,1,0,0,0,0,1222
7199,"7004-86",2,2,1,1,1,2,77,1223
7200,"7004-86",0,0,1,0,0,0,0,1224
7201,"7004-86",1,2,1,2,0,2,53,1225
7202,"7004-86",1,0,0,0,1,0,27,1226
7203,"7004-86",0,0,1,0,1,0,0,1227
7204,"7004-86",1,2,1,1,1,2,50,1228
7205,"7004-86",0,0,1,0,0,0,0,1229
7206,"7004-86",0,0,1,0,0,1,1,1230
7207,"7005-87",0,1,0,1,1,1,13,1231
7208,"7005-87",1,1,1,1,1,1,40,1232
7209,"7005-87",0,1,0,0,1,0,9,1233
7210,"7005-87",0,1,0,1,0,0,12,1234
7211,"7005-87",0,1,1,0,1,1,10,1235
7212,"7005-87",0,0,1,0,0,0,0,1236
7213,"7005-87",0,0,0,0,1,0,0,1237
7214,"7005-87",0,0,1,0,0,0,0,1238
7215,"7005-87",1,1,0,1,1,0,39,1239
7216,"7005-87",0,0,0,0,1,0,0,1240
7217,"7005-87",0,0,1,0,1,0,0,1241
7218,"7005-87",0,0,1,0,0,0,0,1242
7219,"7005-87",0,0,0,0,1,0,0,1243
7220,"7005-87",0,0,0,0,1,0,0,1244
7221,"7005-87",0,1,0,0,0,1,10,1245
7233,"7005-87",0,0,0,0,0,0,0,1246
7234,"7005-87",1,2,0,1,1,1,49,1247
7235,"7005-87",0,0,1,1,0,0,3,1248
7236,"7005-87",1,1,1,0,1,1,37,1249
7237,"7006-87",0,0,1,0,1,0,0,1250
7238,"7006-87",1,0,0,1,0,0,30,1251
7239,"7006-87",1,1,0,1,1,1,40,1252
7240,"7006-87",0,0,1,0,0,0,0,1253
7241,"7006-87",1,1,1,1,0,2,41,1254
7242,"7006-87",2,2,1,0,1,1,73,1255
7243,"7006-87",0,0,1,1,1,1,4,1256
7244,"7006-87",0,1,0,0,1,0,9,1257
7245,"7006-87",1,1,1,1,1,0,39,1258
7246,"7006-87",0,0,1,1,1,1,4,1259
7247,"7006-87",1,2,0,2,1,2,53,1260
7248,"7006-87",0,0,0,1,0,1,4,1261
7249,"7006-87",1,0,0,0,0,0,27,1262
7250,"7006-87",2,2,0,2,1,2,80,1263
7251,"7006-87",1,0,0,1,0,1,31,1264
7252,"7006-87",0,1,0,1,0,0,12,1265
7253,"7006-87",2,0,1,2,0,0,60,1266
7254,"7006-87",0,0,1,0,1,0,0,1267
7255,"7006-87",0,0,0,0,1,0,0,1268
7257,"7006-87",0,1,0,2,1,2,17,1269
7259,"7006-87",0,0,1,0,0,0,0,1270
7262,"7006-87",0,0,1,1,0,0,3,1271
7263,"7006-87",0,1,0,0,0,1,10,1272
7264,"7006-87",2,1,0,1,0,1,67,1273
7265,"7006-87",0,0,0,0,0,0,0,1274
7266,"7006-87",2,2,0,1,1,1,76,1275
7267,"7006-87",1,0,1,0,1,1,28,1276
7269,"7006-87",1,0,1,1,1,0,30,1277
7270,"7006-87",0,0,1,1,0,0,3,1278
7271,"7006-87",0,0,0,1,0,2,5,1279
7273,"7006-87",0,0,1,1,1,0,3,1280
7274,"7006-87",0,0,1,1,0,0,3,1281
7275,"7006-87",1,1,1,0,1,0,36,1282
7276,"7006-87",0,0,0,1,0,0,3,1283
7277,"7006-87",2,1,1,1,1,1,67,1284
7278,"7006-87",2,1,1,1,0,1,67,1285
7279,"7006-87",1,0,0,2,1,2,35,1286
7280,"7006-87",1,0,0,1,1,2,32,1287
7281,"7006-87",0,0,1,1,0,2,5,1288
7282,"7006-87",0,1,1,0,0,2,11,1289
7283,"7006-87",1,0,0,2,1,2,35,1290
7284,"7006-87",0,1,0,1,1,1,13,1291
7285,"7006-87",0,0,1,1,1,0,3,1292
7286,"7006-87",0,0,1,1,1,1,4,1293
7288,"7006-87",0,0,0,1,0,0,3,1294
7289,"7006-87",0,0,0,1,0,0,3,1295
7290,"7006-87",2,2,0,2,1,2,80,1296
7291,"7006-87",0,0,1,0,0,0,0,1297
7292,"7006-87",1,0,0,0,1,2,29,1298
7293,"7006-87",0,0,0,2,0,2,8,1299
7294,"7006-87",0,0,0,2,1,0,6,1300
7295,"7006-87",0,0,0,0,0,0,0,1301
7296,"7006-87",0,0,0,0,0,0,0,1302
7298,"7006-87",0,1,0,0,1,0,9,1303
7299,"7006-87",0,0,1,0,0,0,0,1304
7301,"7006-87",0,0,1,0,0,0,0,1305
7302,"7006-87",0,2,0,1,1,1,22,1306
7303,"7006-87",0,0,0,1,1,1,4,1307
7304,"7006-87",2,0,0,1,1,1,58,1308
7305,"7006-87",0,1,0,1,0,1,13,1309
7306,"7006-87",2,1,0,2,1,1,70,1310
7307,"7006-87",1,1,1,1,0,2,41,1311
7308,"7006-87",0,0,0,0,1,1,1,1312
7309,"7006-87",1,1,0,1,1,1,40,1313
7310,"7006-87",1,1,1,0,0,1,37,1314
7311,"7006-87",1,1,0,1,0,2,41,1315
7312,"7006-87",0,0,0,1,1,1,4,1316
7313,"7006-87",0,0,1,1,0,0,3,1317
7315,"7006-87",0,1,0,0,0,0,9,1318
7316,"7006-87",1,1,0,1,1,2,41,1319
7317,"7006-87",1,1,0,0,0,1,37,1320
7318,"7006-87",0,0,0,1,0,1,4,1321
7319,"7006-87",0,1,1,2,1,2,17,1322
7320,"7006-87",0,0,0,1,0,2,5,1323
7321,"7006-87",0,1,0,2,1,2,17,1324
7322,"7006-87",0,0,0,0,0,1,1,1325
7323,"7006-87",0,1,1,1,1,0,12,1326
7324,"7007-88",2,2,0,1,0,2,77,1327
7325,"7007-88",2,2,0,2,0,2,80,1328
7326,"7007-88",1,1,1,1,1,2,41,1329
7327,"7007-88",2,0,1,0,1,1,55,1330
7328,"7007-88",1,1,0,0,1,2,38,1331
7329,"7007-88",2,1,0,0,1,2,65,1332
7330,"7007-88",1,0,0,1,0,1,31,1333
7332,"7007-88",2,1,0,1,1,2,68,1334
7333,"7007-88",0,0,0,0,0,0,0,1335
7334,"7007-88",0,0,0,1,0,1,4,1336
7335,"7007-88",0,0,1,0,1,1,1,1337
7336,"7007-88",0,0,0,1,0,2,5,1338
7337,"7007-88",2,2,1,1,1,2,77,1339
7338,"7007-88",2,0,0,2,0,2,62,1340
7339,"7007-88",2,2,1,1,1,2,77,1341
7340,"7007-88",2,2,1,2,1,1,79,1342
7341,"7007-88",0,0,1,1,0,1,4,1343
7342,"7007-88",1,1,0,2,1,2,44,1344
7343,"7007-88",0,1,1,1,1,1,13,1345
7344,"7007-88",1,1,0,1,0,1,40,1346
7345,"7007-88",0,0,0,0,0,0,0,1347
7346,"7007-88",2,1,1,0,1,0,63,1348
7347,"7007-88",0,0,0,1,0,0,3,1349
7348,"7007-88",2,1,0,2,1,1,70,1350
7349,"7007-88",0,0,0,0,0,2,2,1351
7351,"7007-88",2,0,1,2,0,1,61,1352
7352,"7007-88",0,1,0,1,0,2,14,1353
7354,"7007-88",1,1,1,1,1,2,41,1354
7355,"7007-88",0,0,1,0,0,1,1,1355
7356,"7007-88",2,2,0,1,1,1,76,1356
7357,"7007-88",0,0,1,0,0,0,0,1357
7358,"7007-88",1,1,1,1,0,1,40,1358
7359,"7007-88",0,0,1,0,1,0,0,1359
7360,"7007-88",2,2,1,1,0,2,77,1360
7362,"7007-88",1,0,0,1,0,1,31,1361
7363,"7007-88",2,2,1,1,1,1,76,1362
7364,"7007-88",1,1,1,1,0,1,40,1363
7365,"7007-88",0,1,0,2,1,2,17,1364
7366,"7007-88",2,2,1,2,1,2,80,1365
7367,"7007-88",2,2,1,1,1,2,77,1366
7389,"7008-89",2,2,0,0,1,1,73,1367
7390,"7008-89",0,1,1,0,0,0,9,1368
7391,"7008-89",1,1,1,0,0,1,37,1369
7392,"7008-89",2,2,1,2,1,2,80,1370
7393,"7008-89",0,1,1,2,1,1,16,1371
7394,"7008-89",1,0,0,0,1,1,28,1372
7395,"7008-89",1,1,1,0,0,1,37,1373
7397,"7008-89",1,2,1,1,0,2,50,1374
7398,"7008-89",0,0,0,0,0,0,0,1375
7399,"7008-89",0,0,1,0,0,0,0,1376
7401,"7008-89",2,2,0,0,1,0,72,1377
7402,"7008-89",0,1,0,0,0,1,10,1378
7403,"7008-89",0,0,1,0,0,0,0,1379
7404,"7008-89",1,2,1,0,1,2,47,1380
7405,"7008-89",0,0,1,0,1,1,1,1381
7406,"7008-89",0,0,0,0,0,0,0,1382
7407,"7008-89",0,0,0,2,0,1,7,1383
7408,"7008-89",0,0,1,1,0,0,3,1384
7409,"7008-89",0,0,0,0,0,0,0,1385
7410,"7008-89",0,0,1,0,1,0,0,1386
7411,"7008-89",0,0,0,0,0,1,1,1387
7412,"7008-89",0,0,1,2,0,1,7,1388
