"ID","School","Teacher","ChildAge","Gender","Ethnic","BA","LC","DLS","FS"
641,960,77,4.62,0,1,3,0,0,0
7006,7001,83,4.62,0,1,0,0,0,1
7352,7007,88,4.62,0,0,1,3,1,2
735,43.5,21,4.61,0,1,0,0,1,0
7041,7002,84,4.61,0,1,0,0,1,0
142,59,31,4.6,0,1,3,1,1,0
149,59,31,4.59,0,1,3,1,1,1
382,79,39,4.59,0,1,0,0,0,0
929,81,43,4.59,0,1,0,0,0,0
702,450,60,4.59,0,1,0,0,0,1
761,820,65,4.59,0,1,1,2,3,1
770,820,65,4.59,0,1,0,0,0,0
7408,7008,89,4.59,0,1,0,0,0,2
8213,82,44,4.58,0,1,5,1,1,0
7001,7001,83,4.58,0,1,3,1,2,1
7053,7002,84,4.58,0,1,0,0,0,0
7391,7008,89,4.58,0,1,3,1,1,0
6527,65,34,4.57,0,1,1,0,1,2
365,78.5,39,4.57,0,1,0,2,2,0
734,43.5,21,4.56,0,1,0,3,0,0
350,78,39,4.56,0,1,0,0,0,1
593,88.5,48,4.56,0,1,1,0,0,0
574,91,50,4.56,0,1,1,0,0,1
491,95,52,4.56,0,1,1,0,1,0
7409,7008,89,4.56,0,0,0,0,0,0
3611,36,18,4.55,0,0,6,0,1,0
754,43.75,21,4.55,0,1,0,0,0,0
903,50.75,25,4.55,0,NA,3,1,0,0
8220,82,44,4.55,0,1,1,0,0,0
724,333,59,4.55,0,1,10,3,3,2
27824,27,13,4.54,0,1,0,0,0,0
27835,27,13,4.54,0,1,0,0,0,0
687,570,63,4.54,0,1,2,0,1,0
7056,7002,84,4.54,0,1,0,0,0,0
7173,7004,86,4.54,0,1,0,0,0,1
7177,7004,86,4.54,0,1,0,0,0,0
597,88.5,48,4.53,0,1,0,0,0,0
11226,112,56,4.53,0,0,5,4,3,2
628,960,77,4.53,0,1,1,0,0,1
636,960,77,4.53,0,1,1,0,1,0
403628,36,18,4.52,0,0,1,4,3,0
134,53.5,28,4.52,0,1,0,0,0,0
11205,112,56,4.52,0,0,1,0,0,1
11222,112,56,4.52,0,1,3,1,1,2
62,19,9,4.51,0,1,1,1,0,0
742,43.5,21,4.51,0,1,1,1,0,0
6509,65,34,4.51,0,1,0,0,0,0
199,68.75,35,4.51,0,1,5,0,2,1
436,84,45,4.51,0,1,10,0,0,3
7291,7006,87,4.51,0,1,0,0,0,0
7178,7004,86,4.5,0,1,1,0,0,0
7411,7008,89,4.5,0,0,0,2,0,0
450501,50,24,5.69,0,1,10,2,3,1
450706,50,24,NA,0,NA,10,3,2,1
4714,47,23,3.49,0,1,5,5,2,2
4714,47,23,3.49,0,1,5,5,2,2
5142,51,25,3.45,0,0,3,5,2,3
99622,996,79,3.45,0,0,2,2,2,3
9602,96,53,3.44,0,1,0,1,0,2
305,3,1,3.41,0,0,9,0,0,1
8263,82,44,3.41,0,1,3,5,1,4
5123,51,25,3.39,0,0,0,3,0,2
99602,996,79,3.38,0,0,5,1,1,2
4508,45,22,3.3,0,1,1,4,1,4
4520,45,22,3.21,0,1,1,2,0,1
4709,47,23,3.18,0,1,2,2,0,2
4709,47,23,3.18,0,1,2,2,0,2
92206,922,71,3.03,0,1,0,2,1,1
92228,922,71,3,0,1,2,5,4,2
92223,922,71,2.98,0,1,6,0,1,0
92213,922,71,2.81,0,1,1,5,1,4
92219,922,71,2.73,0,1,2,3,2,1
447,84,45,4.49,0,1,0,0,0,3
7364,7007,88,4.49,0,1,4,1,2,1
646,41,20,4.48,0,1,1,1,0,4
368,78.5,39,4.48,0,1,4,1,1,4
7358,7007,88,4.48,0,1,2,1,1,1
400872,505,61,4.47,0,1,5,4,5,3
378,79,39,4.46,0,1,2,3,1,3
7103,7003,85,4.46,0,1,2,2,1,0
7037,7002,84,4.45,0,0,0,0,0,0
520,960,76,4.44,0,1,0,0,0,0
459,84,45,4.43,0,1,2,0,0,0
7241,7006,87,4.43,0,1,3,3,2,1
652,41,20,4.42,0,1,0,0,0,0
755,43.75,21,4.4,0,1,4,0,2,0
393,79,39,4.39,0,1,0,0,0,0
612,960,77,4.39,0,1,5,0,1,0
8254,82,44,4.38,0,1,0,0,0,0
453,84,45,4.38,0,1,0,0,0,0
697,450,60,4.38,0,1,5,1,2,5
644,41,20,4.36,0,1,1,5,2,5
99701,997,80,4.35,0,0,0,0,1,0
857,34,17,4.34,0,1,1,3,2,2
416,820,64,4.34,0,1,1,0,0,2
7349,7007,88,4.34,0,0,0,3,0,0
605,960,77,4.33,0,1,5,2,3,2
99708,997,80,4.33,0,0,1,0,1,0
7299,7006,87,4.33,0,1,0,0,0,0
8255,82,44,4.31,0,1,0,1,0,2
7397,7008,89,4.31,0,1,2,3,4,1
7341,7007,88,4.28,0,1,0,1,0,1
7055,7002,84,4.27,0,1,3,0,2,1
7253,7006,87,4.26,0,1,8,0,0,5
64,19,9,4.25,0,1,1,0,1,0
99718,997,80,4.24,0,0,2,0,1,1
7146,7004,86,4.24,0,0,2,4,3,1
7101,7003,85,4.23,0,1,10,0,0,1
400287,7006,87,4.18,0,1,2,3,1,2
99719,997,80,4.17,0,0,0,0,0,0
99802,998,81,4.17,0,0,1,0,0,0
400131,7003,85,4.16,0,1,3,3,5,1
99816,998,81,4.15,0,0,1,0,0,2
4511,45,22,4.13,0,1,8,5,5,6
99822,998,81,4.12,0,0,1,0,0,3
400124,7003,85,4.12,0,1,0,2,2,1
323,3,1,4.1,0,1,1,0,0,1
7119,7003,85,4.09,0,1,0,0,0,0
4713,47,23,4.07,0,1,0,1,0,0
4713,47,23,4.07,0,1,0,1,0,0
5120,51,25,4.07,0,0,4,3,3,3
303,3,1,4.06,0,1,1,1,3,6
99801,998,81,4.05,0,0,0,0,0,0
4705,47,23,4.04,0,1,0,0,0,1
4705,47,23,4.04,0,1,0,0,0,1
99823,998,81,4.02,0,0,0,0,0,0
99812,998,81,4,0,0,0,0,0,1
7249,7006,87,3.99,0,0,4,0,0,0
99813,998,81,3.98,0,0,1,2,0,2
99818,998,81,3.98,0,0,1,0,0,3
8229,82,44,3.95,0,1,2,2,0,3
404503,45,22,3.94,0,1,6,3,0,5
99511,995,78,3.93,0,1,0,0,0,3
306,3,1,3.92,0,1,4,1,2,4
9606,96,53,3.89,0,1,8,1,1,2
5124,51,25,3.86,0,0,5,5,4,6
99502,995,78,3.86,0,0,0,0,2,2
5137,51,25,3.84,0,0,0,4,1,4
99512,995,78,3.84,0,NA,9,2,1,3
4507,45,22,3.83,0,1,8,4,1,3
5136,51,25,3.79,0,0,0,0,0,0
8244,82,44,3.78,0,0,6,2,1,3
99505,995,78,3.78,0,1,0,2,1,0
8230,82,44,3.74,0,1,0,0,1,0
99501,995,78,3.74,0,0,6,4,5,0
4704,47,23,3.72,0,1,2,1,0,6
4704,47,23,3.72,0,1,2,1,0,6
312,3,1,3.71,0,1,0,0,0,0
4706,47,23,3.71,0,1,5,2,0,3
4706,47,23,3.71,0,1,5,2,0,3
99613,996,79,3.71,0,0,0,0,0,0
9609,96,53,3.7,0,1,0,3,0,2
99617,996,79,3.69,0,0,0,3,1,0
4509,45,22,3.67,0,1,1,1,1,6
4527,45,22,3.64,0,1,5,4,3,6
99606,996,79,3.64,0,0,1,3,2,2
92220,922,71,3.62,0,1,2,2,2,2
3636,36,18,3.61,0,0,1,0,0,2
4515,45,22,3.59,0,1,2,4,3,2
8233,82,44,3.58,0,1,0,3,2,4
9603,96,53,3.57,0,1,12,6,6,2
338,3,1,3.56,0,1,0,3,0,0
4512,45,22,3.55,0,1,4,4,3,5
4513,45,22,3.55,0,1,1,4,1,5
12531,125,58,5.47,0,1,1,0,1,3
3602,36,18,5.43,0,0,3,0,0,0
79,22,11,5.4,0,1,2,3,1,1
50,19,9,5.25,0,1,0,0,0,1
3620,36,18,5.25,0,0,0,0,1,4
400898,51,26,5.24,0,1,3,0,0,0
532,960,76,5.24,0,1,0,0,0,2
607,960,77,5.24,0,1,1,1,0,0
103,333,59,5.23,0,1,1,4,1,5
705,450,60,5.2,0,1,0,0,0,1
504,960,76,5.2,0,1,2,0,0,2
533,960,76,5.2,0,1,4,0,2,1
960808,960,77,5.2,0,1,5,0,0,2
871,4.5,2,5.19,0,NA,2,3,1,2
