date,close
1495436403,340110
1495440004,340110
1495443604,340117
1495447204,340121
1495450804,340187
1495454403,340219
1495458004,340503
1495461604,340833
1495465203,340941
1495468804,341172
1495472404,341349
1495476003,341502
1495479604,341617
1495483204,341804
1495486803,342475
1495490404,342611
1495494004,343032
1495497604,343292
1495501204,343310
1495504803,343931
1495508404,344331
1495512003,344473
1495515604,344473
1495519204,344473
1495522804,344473
1495526403,344473
1495533604,344503
1495537204,344561
1495540806,345118
1495544405,345171
1495548006,345224
1495551606,345310
1495555205,345331
1495558806,345358
1495562406,345796
1495566006,345854
1495569606,345959
1495573206,346175
1495576806,346350
1495580405,346432
1495584006,346433
1495587606,346506
1495591206,346618
1495594806,347567
1495598405,347748
1495602006,347765
1495605606,347824
1495609206,347824
1495612806,347824
1495616406,347824
1495620006,347824
1495623606,347946
1495627205,348088
1495630806,348088
1495634406,348268
1495638011,348493
1495641608,349091
1495645206,349169
1495648811,349278
1495652406,349289
1495656006,349412
1495659606,349412
1495663206,349614
1495666806,349985
1495670416,350188
1495674009,350384
1495677610,350467
1495681213,350487
1495684808,350635
1495688407,350924
1495692006,351163
1495695618,351221
1495699215,351221
1495702818,351221
1495706413,351221
1495710007,351593
1495713609,351608
1495717206,351667
1495720806,351710
1495724406,351818
1495728006,351908
1495731608,351986
1495735208,351992
1495738826,352380
1495742426,352405
1495746026,352406
1495749626,352412
1495753226,352650
1495756826,352895
1495760426,353264
1495764026,354010
1495767627,354353
1495771226,354360
1495774826,354398
1495778426,354398
1495782026,354438
1495785626,354542
1495789226,355979
1495792826,356470
1495796426,356955
1495800026,357586
1495803625,357998
1495807227,358621
1495810825,358921
1495814426,359467
1495818026,360094
1495821626,361373
1495825226,362384
1495828826,365608
1495832426,369114
1495836026,371276
1495839626,373015
1495843226,375445
1495846826,377074
1495850426,379450
1495854026,382794
1495857626,383980
1495861226,385547
1495864826,385857
1495868426,386449
1495872026,387451
1495875625,387937
1495879226,388202
1495882826,389270
1495886425,390145
1495890026,391589
1495893626,393503
1495897226,394635
1495900826,396041
1495904426,396990
1495908026,397974
1495911626,399444
1495915226,401917
1495918826,403041
1495922426,404912
1495926026,406496
1495929626,407552
1495933226,408834
1495936826,409458
1495940426,410079
1495944026,410940
1495947626,411312
1495951226,411824
1495954826,412019
1495958426,412205
1495962026,412345
1495965625,412612
1495969226,412714
1495972826,413011
1495976426,413580
1495980026,414263
1495983625,415053
1495987226,415973
1495990825,416485
1495994426,416988
1495998026,417632
1496001627,418577
1496005226,419545
1496008826,420703
1496012426,422396
1496016026,423403
1496019626,424168
1496023226,425454
1496026826,426348
1496030425,427044
1496034026,427451
1496037626,427583
1496041226,427765
1496044826,427861
1496048426,428180
1496052026,428534
1496055626,428887
1496059227,429297
1496062826,429452
1496066426,429762
1496070026,430167
1496073626,430980
1496077226,431814
1496080826,432579
1496084426,433736
1496088026,434108
1496091626,434919
1496095226,435673
1496098826,436680
1496102451,437775
1496106028,439015
1496109625,440281
1496113226,440691
1496116826,441090
1496120425,442360
1496124026,442754
1496127626,442757
1496131226,442757
1496134826,442844
1496138426,443033
1496142026,443277
1496152826,443934
1496156426,444433
1496160026,444962
1496163626,445700
1496167225,446220
1496170826,446990
1496174426,447726
1496178026,449050
1496181626,449706
1496185226,449831
1496188826,451207
1496192426,451390
1496196025,452116
1496199626,452373
1496203226,452975
1496206826,453187
1496210426,453536
1496214025,453906
1496217627,454254
1496221226,454339
1496224826,454432
1496228426,454622
1496232026,455118
1496235626,455355
1496239226,455498
1496242826,455758
1496246425,456457
1496250026,457060
1496253626,458049
1496257226,458412
1496260826,458824
1496264426,459763
1496268029,460500
1496271626,460743
1496275226,461028
1496278826,461515
1496282425,461536
1496286026,461818
1496289626,461915
1496293227,462706
1496296826,463100
1496300425,463162
1496304026,463387
1496307626,463901
1496311226,463947
1496314825,464104
1496318426,464534
1496322025,464783
1496325626,465266
1496329226,465951
1496332826,466134
1496336427,466681
1496340026,467078
1496343626,467417
1496347226,469197
1496350825,471058
1496354426,472306
1496358026,472435
1496361626,472958
1496365226,473727
1496368826,473882
1496372426,474407
1496376026,474949
1496379625,475092
1496383226,475380
1496386826,475645
1496390426,475748
1496394026,475895
1496397626,475986
1496401226,476100
