Source,Target,Distance,num_paths,initial_config,final_config,path,search_depth,chunks,vals_str
01,15,5,2,Partial,Partial,"[[1, 17, 9, 20, 26, 15], [1, 17, 28, 22, 11, 15]]",NA,NA,NA
01,16,2,1,Partial,Partial,"[[1, 7, 16]]",1,0,GG
01,17,1,1,Partial,Partial,"[[1, 17]]",1,0,G
01,18,2,1,Partial,Partial,"[[1, 7, 18]]",1,0,GG
01,19,8,6,Partial,Partial,"[[1, 17, 9, 20, 26, 15, 0, 6, 19], [1, 17, 28, 22, 11, 15, 0, 6, 19], [1, 17, 28, 22, 11, 5, 14, 6, 19], [1, 7, 29, 23, 10, 4, 12, 25, 19], [1, 7, 18, 24, 10, 4, 12, 25, 19], [1, 7, 18, 24, 13, 2, 8, 25, 19]]",NA,NA,NA
01,20,3,1,Partial,Partial,"[[1, 17, 9, 20]]",1,0,GGG
01,21,7,1,Partial,Partial,"[[1, 7, 18, 24, 13, 2, 8, 21]]",5,1,SSSSGGG
01,22,3,1,Partial,Partial,"[[1, 17, 28, 22]]",1,0,GGG
01,23,3,1,Partial,Partial,"[[1, 7, 29, 23]]",1,0,GGG
01,24,3,1,Partial,Partial,"[[1, 7, 18, 24]]",1,0,GGG
01,25,7,3,Partial,Partial,"[[1, 7, 29, 23, 10, 4, 12, 25], [1, 7, 18, 24, 10, 4, 12, 25], [1, 7, 18, 24, 13, 2, 8, 25]]",NA,NA,NA
01,26,4,1,Partial,Partial,"[[1, 17, 9, 20, 26]]",1,1,GSGG
01,27,7,1,Partial,Partial,"[[1, 17, 28, 22, 11, 5, 14, 27]]",4,2,SSSGSGG
01,28,2,1,Partial,Partial,"[[1, 17, 28]]",1,0,GG
01,29,2,1,Partial,Partial,"[[1, 7, 29]]",1,0,GG
01,30,3,1,Partial,Tower,"[[1, 17, 28, 30]]",1,0,GGG
01,31,4,1,Partial,Tower,"[[1, 17, 9, 20, 31]]",1,1,GSGG
01,32,3,1,Partial,Tower,"[[1, 7, 29, 32]]",1,0,GGG
01,33,3,1,Partial,Tower,"[[1, 7, 18, 33]]",1,0,GGG
01,34,8,2,Partial,Tower,"[[1, 17, 28, 22, 11, 5, 14, 27, 34], [1, 7, 18, 24, 13, 2, 8, 21, 34]]",NA,NA,NA
01,35,8,3,Partial,Tower,"[[1, 7, 29, 23, 10, 4, 12, 25, 35], [1, 7, 18, 24, 10, 4, 12, 25, 35], [1, 7, 18, 24, 13, 2, 8, 25, 35]]",NA,NA,NA
02,00,5,2,Partial,Partial,"[[2, 8, 25, 19, 6, 0], [2, 8, 21, 27, 6, 0]]",NA,NA,NA
02,01,5,1,Partial,Partial,"[[2, 13, 24, 18, 7, 1]]",3,1,SSGGG
02,03,6,2,Partial,Partial,"[[2, 13, 10, 23, 29, 16, 3], [2, 13, 24, 18, 7, 16, 3]]",NA,NA,NA
02,04,3,2,Partial,Partial,"[[2, 13, 10, 4], [2, 8, 12, 4]]",NA,NA,NA
02,05,5,1,Partial,Partial,"[[2, 8, 21, 27, 14, 5]]",3,1,SSGGG
02,06,4,2,Partial,Flat,"[[2, 8, 25, 19, 6], [2, 8, 21, 27, 6]]",NA,NA,NA
02,07,4,1,Partial,Flat,"[[2, 13, 24, 18, 7]]",1,1,GSGG
02,08,1,1,Partial,Flat,"[[2, 8]]",1,0,G
02,09,7,3,Partial,Flat,"[[2, 13, 10, 23, 29, 16, 3, 9], [2, 13, 24, 18, 7, 16, 3, 9], [2, 13, 24, 18, 7, 1, 17, 9]]",NA,NA,NA
02,10,2,1,Partial,Flat,"[[2, 13, 10]]",1,0,GG
02,11,6,1,Partial,Flat,"[[2, 8, 21, 27, 14, 5, 11]]",3,2,SSGSGG
02,12,2,1,Partial,Partial,"[[2, 8, 12]]",1,0,GG
02,13,1,1,Partial,Partial,"[[2, 13]]",1,0,G
02,14,4,1,Partial,Partial,"[[2, 8, 21, 27, 14]]",1,1,GSGG
02,15,6,2,Partial,Partial,"[[2, 8, 25, 19, 6, 0, 15], [2, 8, 21, 27, 6, 0, 15]]",NA,NA,NA
02,16,5,2,Partial,Partial,"[[2, 13, 10, 23, 29, 16], [2, 13, 24, 18, 7, 16]]",NA,NA,NA
02,17,6,1,Partial,Partial,"[[2, 13, 24, 18, 7, 1, 17]]",4,1,SSSGGG
02,18,3,1,Partial,Partial,"[[2, 13, 24, 18]]",1,0,GGG
02,19,3,1,Partial,Partial,"[[2, 8, 25, 19]]",1,0,GGG
02,20,8,6,Partial,Partial,"[[2, 13, 10, 23, 29, 16, 3, 9, 20], [2, 13, 24, 18, 7, 16, 3, 9, 20], [2, 13, 24, 18, 7, 1, 17, 9, 20], [2, 8, 25, 19, 6, 0, 15, 26, 20], [2, 8, 21, 27, 6, 0, 15, 26, 20], [2, 8, 21, 27, 14, 5, 11, 26, 20]]",NA,NA,NA
02,21,2,1,Partial,Partial,"[[2, 8, 21]]",1,0,GG
02,22,7,1,Partial,Partial,"[[2, 8, 21, 27, 14, 5, 11, 22]]",5,1,SSSSGGG
02,23,3,1,Partial,Partial,"[[2, 13, 10, 23]]",1,0,GGG
02,24,2,1,Partial,Partial,"[[2, 13, 24]]",1,0,GG
02,25,2,1,Partial,Partial,"[[2, 8, 25]]",1,0,GG
02,26,7,3,Partial,Partial,"[[2, 8, 25, 19, 6, 0, 15, 26], [2, 8, 21, 27, 6, 0, 15, 26], [2, 8, 21, 27, 14, 5, 11, 26]]",NA,NA,NA
02,27,3,1,Partial,Partial,"[[2, 8, 21, 27]]",1,0,GGG
02,28,7,1,Partial,Partial,"[[2, 13, 24, 18, 7, 1, 17, 28]]",4,2,SSSGSGG
02,29,4,1,Partial,Partial,"[[2, 13, 10, 23, 29]]",1,1,GSGG
02,30,8,2,Partial,Tower,"[[2, 13, 24, 18, 7, 1, 17, 28, 30], [2, 8, 21, 27, 14, 5, 11, 22, 30]]",NA,NA,NA
02,31,8,3,Partial,Tower,"[[2, 8, 25, 19, 6, 0, 15, 26, 31], [2, 8, 21, 27, 6, 0, 15, 26, 31], [2, 8, 21, 27, 14, 5, 11, 26, 31]]",NA,NA,NA
02,32,4,1,Partial,Tower,"[[2, 13, 10, 23, 32]]",1,1,GSGG
02,33,3,1,Partial,Tower,"[[2, 13, 24, 33]]",1,0,GGG
02,34,3,1,Partial,Tower,"[[2, 8, 21, 34]]",1,0,GGG
02,35,3,1,Partial,Tower,"[[2, 8, 25, 35]]",1,0,GGG
03,00,5,1,Partial,Partial,"[[3, 9, 20, 26, 15, 0]]",3,1,SSGGG
03,01,3,2,Partial,Partial,"[[3, 16, 7, 1], [3, 9, 17, 1]]",NA,NA,NA
03,02,6,2,Partial,Partial,"[[3, 16, 7, 18, 24, 13, 2], [3, 16, 29, 23, 10, 13, 2]]",NA,NA,NA
03,04,5,1,Partial,Partial,"[[3, 16, 29, 23, 10, 4]]",3,1,SSGGG
03,05,5,2,Partial,Partial,"[[3, 9, 28, 22, 11, 5], [3, 9, 20, 26, 11, 5]]",NA,NA,NA
03,06,6,1,Partial,Flat,"[[3, 9, 20, 26, 15, 0, 6]]",3,2,SSGSGG
03,07,2,1,Partial,Flat,"[[3, 16, 7]]",1,0,GG
03,08,7,3,Partial,Flat,"[[3, 16, 7, 18, 24, 13, 2, 8], [3, 16, 29, 23, 10, 13, 2, 8], [3, 16, 29, 23, 10, 4, 12, 8]]",NA,NA,NA
03,09,1,1,Partial,Flat,"[[3, 9]]",1,0,G
03,10,4,1,Partial,Flat,"[[3, 16, 29, 23, 10]]",1,1,GSGG
03,11,4,2,Partial,Flat,"[[3, 9, 28, 22, 11], [3, 9, 20, 26, 11]]",NA,NA,NA
03,12,6,1,Partial,Partial,"[[3, 16, 29, 23, 10, 4, 12]]",4,1,SSSGGG
